acq_date,id,path,acq_method,description,program_type,sequence_name,ch_filenames,uv_filenames
2023-01-30 15:15:49,z1,/Users/jonathan/0_jono_data/2023-01-30_WINES 2023-01-30 15-15-45.sequence/Z1.D,2023-01-25_WINE_GRADIENT_5.M,empty,sequence,2023-01-30_WINES 2023-01-30 15-15-45.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-01-25 12:39:37,z3,/Users/jonathan/0_jono_data/2023-01-23_WINE_TEST_GRAD_5.D,2023-01-25_WINE_GRADIENT_5.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-01-25 11:49:56,z3,/Users/jonathan/0_jono_data/2023-01-23_WINE_TEST_GRAD_4.D,2023-01-25_WINE_GRADIENT_4.M,empty,single run,,DAD1A.ch,
2023-01-23 16:20:54,z3,/Users/jonathan/0_jono_data/2023-01-23_WINE_TEST_GRAD_2.D,2023-01-23_WINE_GRADIENT_2.M,empty,single run,,DAD1A.ch,
2023-01-23 16:00:38,z3,/Users/jonathan/0_jono_data/2023-01-23_WINE_TEST_GRAD_1.D,2023-01-23_WINE_GRADIENT_1.M,empty,single run,,DAD1A.ch,
2023-01-23 14:58:56,coffee,/Users/jonathan/0_jono_data/2023-01-23_COFFEE-TEST_3.D,2023-01-23_COFFEE_TEST.M,empty,single run,,DAD1A.ch,
2023-01-23 14:52:08,coffee,/Users/jonathan/0_jono_data/2023-01-23_COFFEE-TEST_2.D,2023-01-23_COFFEE_TEST.M,empty,single run,,DAD1A.ch,
2023-01-23 14:43:00,coffee,/Users/jonathan/0_jono_data/2023-01-23_COFFEE-TEST-1.D,2023-01-23_COFFEE_TEST.M,empty,single run,,DAD1A.ch,
2023-01-23 14:13:03,MeOH,/Users/jonathan/0_jono_data/2023-01-23_PHENOL_TEST.D,2023-01-23_PHENOL_TEST.M,empty,single run,,DAD1A.ch,
2022-08-02 09:34:19,caffeine_standard_50ppm,/Users/jonathan/0_jono_data/2022-08-02_CAFFEINE_STANDARD_50PPM.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,single run,,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-02 09:34:19,caffeine_standard_50ppm,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-02_CAFFEINE_STANDARD_50PPM.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,single run,,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-02 01:32:26,cap_nestle_africas,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAP_NESTLE_AFRICAS.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-02 01:32:26,cap_nestle_africas,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAP_NESTLE_AFRICAS.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
